,source,destination
0,cartservice,redis-cart
1,frontend,adservice
2,checkoutservice,cartservice
3,frontend,cartservice
4,frontend,checkoutservice
5,checkoutservice,currencyservice
6,frontend,currencyservice
7,checkoutservice,emailservice
8,unknown,frontend
9,checkoutservice,paymentservice
10,checkoutservice,productcatalogservice
11,frontend,productcatalogservice
12,recommendationservice,productcatalogservice
13,frontend,recommendationservice
14,checkoutservice,shippingservice
15,frontend,shippingservice
16,adservice,ubuntu-precision-tower-7810
17,cartservice,ubuntu-precision-tower-7810
18,cartservice,ubuntu-precision-tower-7810
19,checkoutservice,ubuntu-precision-tower-7810
20,checkoutservice,ubuntu-precision-tower-7810
21,checkoutservice,ubuntu-precision-tower-7810
22,currencyservice,ubuntu-precision-tower-7810
23,emailservice,ubuntu-precision-tower-7810
24,frontend,ubuntu-precision-tower-7810
25,paymentservice,ubuntu-precision-tower-7810
26,productcatalogservice,ubuntu-precision-tower-7810
27,productcatalogservice,ubuntu-precision-tower-7810
28,productcatalogservice,ubuntu-precision-tower-7810
29,productcatalogservice,ubuntu-precision-tower-7810
30,productcatalogservice,ubuntu-precision-tower-7810
31,recommendationservice,ubuntu-precision-tower-7810
32,redis,ubuntu-precision-tower-7810
33,shippingservice,ubuntu-precision-tower-7810
